# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 3D1  np 3F2 
190.00   40.8294   61.8167   -0.8304  -11.2255  -21.4476   48.8369    4.2409   -4.3585  -26.2158  1.2384 
191.00   40.7309   61.6116   -0.8041  -11.2165  -21.5026   48.7465    4.2454   -4.3638  -26.3409  1.2413 
192.00   40.6323   61.4070   -0.7779  -11.2073  -21.5572   48.6553    4.2497   -4.3689  -26.4658  1.2443 
193.00   40.5334   61.2029   -0.7517  -11.1978  -21.6114   48.5633    4.2539   -4.3739  -26.5904  1.2471 
194.00   40.4343   60.9994   -0.7255  -11.1882  -21.6652   48.4706    4.2579   -4.3788  -26.7148  1.2499 
195.00   40.3350   60.7963   -0.6992  -11.1782  -21.7185   48.3771    4.2617   -4.3834  -26.8389  1.2527 
196.00   40.2354   60.5937   -0.6730  -11.1681  -21.7715   48.2829    4.2654   -4.3879  -26.9627  1.2554 
197.00   40.1357   60.3917   -0.6468  -11.1576  -21.8241   48.1880    4.2689   -4.3923  -27.0862  1.2581 
198.00   40.0358   60.1901   -0.6206  -11.1470  -21.8762   48.0923    4.2723   -4.3965  -27.2095  1.2607 
199.00   39.9356   59.9890   -0.5944  -11.1361  -21.9279   47.9960    4.2755   -4.4005  -27.3325  1.2633 
200.00   39.8352   59.7883   -0.5682  -11.1250  -21.9793   47.8989    4.2785   -4.4044  -27.4552  1.2658 
201.00   39.7347   59.5881   -0.5420  -11.1136  -22.0302   47.8012    4.2814   -4.4082  -27.5776  1.2683 
202.00   39.6339   59.3884   -0.5158  -11.1020  -22.0806   47.7027    4.2841   -4.4118  -27.6998  1.2707 
203.00   39.5330   59.1891   -0.4896  -11.0902  -22.1307   47.6037    4.2867   -4.4152  -27.8216  1.2731 
204.00   39.4318   58.9903   -0.4635  -11.0781  -22.1803   47.5039    4.2891   -4.4185  -27.9432  1.2754 
205.00   39.3304   58.7919   -0.4373  -11.0658  -22.2295   47.4035    4.2913   -4.4216  -28.0645  1.2777 
206.00   39.2289   58.5940   -0.4112  -11.0533  -22.2783   47.3025    4.2934   -4.4246  -28.1855  1.2799 
207.00   39.1271   58.3964   -0.3850  -11.0405  -22.3266   47.2008    4.2954   -4.4274  -28.3062  1.2821 
208.00   39.0251   58.1993   -0.3589  -11.0275  -22.3746   47.0985    4.2972   -4.4301  -28.4265  1.2842 
209.00   38.9230   58.0026   -0.3328  -11.0143  -22.4220   46.9957    4.2988   -4.4326  -28.5466  1.2863 
210.00   38.8207   57.8064   -0.3067  -11.0008  -22.4691   46.8922    4.3003   -4.4349  -28.6664  1.2883 
211.00   38.7181   57.6105   -0.2806  -10.9872  -22.5157   46.7881    4.3017   -4.4372  -28.7859  1.2903 
212.00   38.6154   57.4150   -0.2546  -10.9732  -22.5618   46.6834    4.3029   -4.4392  -28.9051  1.2922 
213.00   38.5125   57.2199   -0.2285  -10.9591  -22.6075   46.5781    4.3039   -4.4411  -29.0239  1.2941 
214.00   38.4094   57.0252   -0.2025  -10.9447  -22.6528   46.4723    4.3048   -4.4429  -29.1425  1.2960 
215.00   38.3061   56.8309   -0.1765  -10.9301  -22.6976   46.3659    4.3056   -4.4445  -29.2607  1.2978 
216.00   38.2027   56.6370   -0.1505  -10.9153  -22.7419   46.2590    4.3062   -4.4460  -29.3786  1.2995 
217.00   38.0990   56.4435   -0.1245  -10.9002  -22.7858   46.1515    4.3066   -4.4473  -29.4962  1.3012 
218.00   37.9952   56.2503   -0.0985  -10.8850  -22.8293   46.0435    4.3069   -4.4485  -29.6134  1.3029 
219.00   37.8912   56.0575   -0.0726  -10.8694  -22.8723   45.9350    4.3071   -4.4495  -29.7303  1.3045 
220.00   37.7871   55.8651   -0.0467  -10.8537  -22.9148   45.8259    4.3071   -4.4504  -29.8469  1.3060 
221.00   37.6827   55.6730   -0.0208  -10.8378  -22.9568   45.7163    4.3070   -4.4511  -29.9632  1.3075 
222.00   37.5782   55.4813    0.0051  -10.8216  -22.9984   45.6063    4.3067   -4.4517  -30.0791  1.3090 
223.00   37.4735   55.2899    0.0309  -10.8052  -23.0395   45.4957    4.3063   -4.4522  -30.1947  1.3104 
224.00   37.3686   55.0988    0.0568  -10.7886  -23.0802   45.3846    4.3057   -4.4525  -30.3099  1.3118 
225.00   37.2636   54.9082    0.0826  -10.7717  -23.1203   45.2730    4.3050   -4.4526  -30.4247  1.3131 
